Order ID,Order Status,Tracking Number*,Shipping Option,Shipment Method,Estimated Ship Out Date,Ship Time,Order Creation Date,Order Paid Time,Product Name,Variation Name,Original Price,Deal Price,Quantity
230401VEKMN01M,Completed,SPEPH037662881024,Standard Local-SPX Express,pickup,4/18/2023 0:14,4/4/2023 19:18,4/1/2023 0:02,4/1/2023 0:14,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Khaki Skirt,L-XL",290,290,1
230401VEKMN01M,Completed,SPEPH037662881024,Standard Local-SPX Express,pickup,4/18/2023 0:14,4/4/2023 19:18,4/1/2023 0:02,4/1/2023 0:14,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"White/Black Shorts,L-XL",290,290,1
230401VGGRNMN7,Completed,7.86E+11,Standard Local-J&T Express,pickup,4/14/2023 0:48,4/4/2023 13:47,4/1/2023 0:36,4/1/2023 0:48,10 PCS ZARA STRAPPY BUNDLE (RANDOM COLORS/FREESIZE),,400,400,2
23040108HUJ2MV,Completed,7.86E+11,Standard Local-J&T Express,pickup,4/4/2023 8:56,4/4/2023 13:47,4/1/2023 8:46,4/1/2023 8:56,ZARA STRAPPY TOP KNITTED,"White,FREESIZE (S-L)",69,69,1
23040108HUJ2MV,Completed,7.86E+11,Standard Local-J&T Express,pickup,4/4/2023 8:56,4/4/2023 13:47,4/1/2023 8:46,4/1/2023 8:56,ZARA STRAPPY TOP KNITTED,"Black,FREESIZE (S-L)",69,69,1
2304010KJ6T65R,Completed,SPEPH030200959934,Standard Local-SPX Express,pickup,4/18/2023 12:03,4/4/2023 19:19,4/1/2023 12:03,4/1/2023 12:03,ZARA STRAPPY TOP KNITTED,"Black,FREESIZE (S-L)",69,69,1
2304010KJ6T65R,Completed,SPEPH030200959934,Standard Local-SPX Express,pickup,4/18/2023 12:03,4/4/2023 19:19,4/1/2023 12:03,4/1/2023 12:03,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"White/Black Shorts,s-M",290,290,1
2304022MNFGT5P,Completed,7.86E+11,Standard Local-J&T Express,pickup,4/18/2023 7:38,4/4/2023 13:47,4/2/2023 7:28,4/2/2023 7:38,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO) - NEW COLORS,"Red/White Skirt,S-M",290,290,1
2304022MNFGT5P,Completed,7.86E+11,Standard Local-J&T Express,pickup,4/18/2023 7:38,4/4/2023 13:47,4/2/2023 7:28,4/2/2023 7:38,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO) - NEW COLORS,"Red/White Short,L-XL",290,290,1
2304022MNFGT5P,Completed,7.86E+11,Standard Local-J&T Express,pickup,4/18/2023 7:38,4/4/2023 13:47,4/2/2023 7:28,4/2/2023 7:38,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO) - NEW COLORS,"Beige Skirt,S-M",290,290,1
2304022MNFGT5P,Completed,7.86E+11,Standard Local-J&T Express,pickup,4/18/2023 7:38,4/4/2023 13:47,4/2/2023 7:28,4/2/2023 7:38,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO) - NEW COLORS,"BabyBlue\White Short,S-M",290,290,1
2304022MNFGT5P,Completed,7.86E+11,Standard Local-J&T Express,pickup,4/18/2023 7:38,4/4/2023 13:47,4/2/2023 7:28,4/2/2023 7:38,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO) - NEW COLORS,"Choco\White Shorts,S-M",290,290,1
2304022MNFGT5P,Completed,7.86E+11,Standard Local-J&T Express,pickup,4/18/2023 7:38,4/4/2023 13:47,4/2/2023 7:28,4/2/2023 7:38,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO) - NEW COLORS,"Black\White Skirt,S-M",290,290,1
2304022MNFGT5P,Completed,7.86E+11,Standard Local-J&T Express,pickup,4/18/2023 7:38,4/4/2023 13:47,4/2/2023 7:28,4/2/2023 7:38,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO) - NEW COLORS,"White/Black Skirt,S-M",290,290,1
230402347TTWEB,Completed,SPEPH034677917734,Standard Local-SPX Express,pickup,4/18/2023 12:17,4/4/2023 19:19,4/2/2023 12:07,4/2/2023 12:17,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Beige Skirt,s-M",290,290,1
230402358JXT3S,Completed,7.86E+11,Standard Local-J&T Express,pickup,4/18/2023 12:35,4/4/2023 13:47,4/2/2023 12:25,4/2/2023 12:35,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Khaki Skirt,s-M",290,290,1
23040237DGU3PX,Completed,SPEPH038698911164,Standard Local-SPX Express,pickup,4/18/2023 13:14,4/4/2023 19:19,4/2/2023 13:04,4/2/2023 13:14,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO) - NEW COLORS,"Black\White Skirt,L-XL",290,290,1
2304023FN8SFUF,Completed,SPEPH035378630654,Standard Local-SPX Express,pickup,4/18/2023 15:41,4/4/2023 19:18,4/2/2023 15:31,4/2/2023 15:41,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black Skirt(New),L-XL",290,290,1
2304023JF0ART1,Completed,SPEPH031241324164,Standard Local-SPX Express,pickup,4/18/2023 16:32,4/4/2023 19:19,4/2/2023 16:21,4/2/2023 16:32,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Beige Skirt,s-M",290,290,1
2304023S4UVEEA,Completed,SPEPH030869831564,Standard Local-SPX Express,pickup,4/18/2023 18:31,4/4/2023 19:18,4/2/2023 18:21,4/2/2023 18:31,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO) - NEW COLORS,"Pink Skirt,L-XL",290,290,1
230402452MGG1Q,Completed,SPEPH039925129534,Standard Local-SPX Express,pickup,4/4/2023 22:05,4/4/2023 19:18,4/2/2023 21:54,4/2/2023 22:05,ZARA KNITTED TUBE TOP,"Mint green,FREESIZE (S-L)",69,69,1
23040249K8M4ED,Completed,SPEPH033940394634,Standard Local-SPX Express,pickup,4/18/2023 23:26,4/4/2023 19:19,4/2/2023 23:15,4/2/2023 23:26,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Beige Skirt,L-XL",290,290,1
2304034JM9BRGE,Completed,SPEPH036253835474,Standard Local-SPX Express,pickup,4/19/2023 2:07,4/4/2023 19:19,4/3/2023 1:57,4/3/2023 2:07,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Beige Shorts,s-M",290,290,1
2304034JM9BRGE,Completed,SPEPH036253835474,Standard Local-SPX Express,pickup,4/19/2023 2:07,4/4/2023 19:19,4/3/2023 1:57,4/3/2023 2:07,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Blue Skirt(New),s-M",290,290,1
2304034N6U220G,Completed,SPEPH039477366564,Standard Local-SPX Express,pickup,4/15/2023 2:53,4/4/2023 19:18,4/3/2023 2:43,4/3/2023 2:53,10 PCS ZARA STRAPPY BUNDLE (RANDOM COLORS/FREESIZE),,400,400,1
2304035E1QE2CW,Completed,SPEPH033405982834,Standard Local-SPX Express,pickup,4/19/2023 10:18,4/4/2023 19:19,4/3/2023 10:08,4/3/2023 10:18,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Shorts,L-XL",290,290,1
2304035EEMDWK0,Completed,7.86E+11,Standard Local-J&T Express,pickup,4/19/2023 10:25,4/20/2023 14:07,4/3/2023 10:15,4/3/2023 10:25,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black Shorts,s-M",290,290,1
2304035PCPF1PA,Completed,SPEPH039903760894,Standard Local-SPX Express,pickup,4/19/2023 12:47,4/4/2023 19:19,4/3/2023 12:37,4/3/2023 12:47,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"White/Black Skirt,L-XL",290,290,1
2304035THE68J1,Completed,SPEPH031715495154,Standard Local-SPX Express,pickup,4/5/2023 14:01,4/4/2023 19:18,4/3/2023 13:51,4/3/2023 14:01,DITSY FLORAL SKIRT 21-35” waistline,"Choco brown,NO SLIT",120,120,1
2304035X5W2HE7,Completed,SPEPH031419665684,Standard Local-SPX Express,pickup,4/19/2023 14:57,4/4/2023 19:19,4/3/2023 14:56,4/3/2023 14:57,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO) - NEW COLORS,"Red/White Skirt,L-XL",290,290,1
2304035Y4HEVJ5,Completed,SPEPH038885980844,Standard Local-SPX Express,pickup,4/19/2023 15:24,4/19/2023 17:39,4/3/2023 15:13,4/3/2023 15:24,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Khaki Shorts,L-XL",290,290,1
2304035Y4HEVJ5,Completed,SPEPH038885980844,Standard Local-SPX Express,pickup,4/19/2023 15:24,4/19/2023 17:39,4/3/2023 15:13,4/3/2023 15:24,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Blue Skirt(New),s-M",290,290,1
2304035Y4HEVJ5,Completed,SPEPH038885980844,Standard Local-SPX Express,pickup,4/19/2023 15:24,4/19/2023 17:39,4/3/2023 15:13,4/3/2023 15:24,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black Shorts,s-M",290,290,1
2304035Y6BMTDS,Completed,SPEPH032294911904,Standard Local-SPX Express,pickup,4/19/2023 15:18,4/19/2023 17:45,4/3/2023 15:14,4/3/2023 15:18,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO) - NEW COLORS,"Black/White(2) Short,S-M",290,290,1
23040363G1MHS2,Completed,SPEPH032820340414,Standard Local-SPX Express,pickup,4/15/2023 16:42,4/4/2023 19:18,4/3/2023 16:31,4/3/2023 16:42,TWEED COORDS/DRESS CHECKOUT (6-15 sets),,5,5,1
23040364H2B0R9,Completed,SPEPH039223883834,Standard Local-SPX Express,pickup,4/19/2023 17:00,4/4/2023 19:18,4/3/2023 16:50,4/3/2023 17:00,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Khaki Shorts,L-XL",290,290,1
23040364H2B0R9,Completed,SPEPH039223883834,Standard Local-SPX Express,pickup,4/19/2023 17:00,4/4/2023 19:18,4/3/2023 16:50,4/3/2023 17:00,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Skirt,L-XL",290,290,1
23040366B60G7N,Completed,SPEPH036839731534,Standard Local-SPX Express,pickup,4/19/2023 17:33,4/19/2023 17:39,4/3/2023 17:22,4/3/2023 17:33,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO) - NEW COLORS,"Red/White Skirt,L-XL",290,290,1
23040366B60G7N,Completed,SPEPH036839731534,Standard Local-SPX Express,pickup,4/19/2023 17:33,4/19/2023 17:39,4/3/2023 17:22,4/3/2023 17:33,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO) - NEW COLORS,"Black/White(2) Short,L-XL",290,290,1
23040366B60G7N,Completed,SPEPH036839731534,Standard Local-SPX Express,pickup,4/19/2023 17:33,4/19/2023 17:39,4/3/2023 17:22,4/3/2023 17:33,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO) - NEW COLORS,"Black\White Skirt,L-XL",290,290,1
23040366B60G7N,Completed,SPEPH036839731534,Standard Local-SPX Express,pickup,4/19/2023 17:33,4/19/2023 17:39,4/3/2023 17:22,4/3/2023 17:33,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO) - NEW COLORS,"Blue Skirt,L-XL",290,290,1
23040368S025MD,Completed,SPEPH031355599834,Standard Local-SPX Express,pickup,4/19/2023 18:16,4/4/2023 19:18,4/3/2023 18:06,4/3/2023 18:16,CHECKOUT LINK (1-30 PCS),,5,5,1
23040368T47REX,Completed,SPEPH032691172144,Standard Local-SPX Express,pickup,4/22/2023 18:08,4/20/2023 17:08,4/3/2023 18:07,4/3/2023 18:08,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black Shorts,L-XL",290,290,1
2304036A3SEPQR,Completed,7.86E+11,Standard Local-J&T Express,pickup,4/19/2023 18:40,4/4/2023 13:47,4/3/2023 18:30,4/3/2023 18:40,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"White/Black Skirt,s-M",290,290,1
2304036AEA3E00,Completed,SPEPH038000450334,Standard Local-SPX Express,pickup,4/19/2023 18:46,4/4/2023 19:19,4/3/2023 18:36,4/3/2023 18:46,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black Skirt(New),s-M",290,290,1
2304036CBPNNAK,Completed,SPEPH033687995624,Standard Local-SPX Express,pickup,4/19/2023 19:20,4/4/2023 19:18,4/3/2023 19:10,4/3/2023 19:20,CHECKOUT LINK (1-30 PCS),,5,5,1
2304036H28N49G,Completed,SPEPH030725616854,Standard Local-SPX Express,pickup,4/19/2023 20:45,4/4/2023 19:18,4/3/2023 20:34,4/3/2023 20:45,CHECKOUT LINK (1-30 PCS),,5,5,1
2304036UEH67P1,Completed,SPEPH035042258784,Standard Local-SPX Express,pickup,4/19/2023 23:50,4/19/2023 17:46,4/3/2023 23:40,4/3/2023 23:50,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Shorts,s-M",290,290,1
2304046WBUU979,Completed,SPEPH034018796204,Standard Local-SPX Express,pickup,4/20/2023 0:24,4/4/2023 19:19,4/4/2023 0:14,4/4/2023 0:24,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Beige Shorts,L-XL",290,290,1
2304046XAM05RK,Completed,SPEPH035680541704,Standard Local-SPX Express,pickup,4/20/2023 0:42,4/4/2023 19:19,4/4/2023 0:32,4/4/2023 0:42,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Blue Skirt,L-XL",290,290,1
23040470ARB3D8,Completed,SPEPH031021945454,Standard Local-SPX Express,pickup,4/20/2023 1:18,4/4/2023 19:19,4/4/2023 1:07,4/4/2023 1:18,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO) - NEW COLORS,"Pink Skirt,L-XL",290,290,1
23040470QGHD2N,Completed,SPEPH032984126654,Standard Local-SPX Express,pickup,4/20/2023 1:26,4/4/2023 19:19,4/4/2023 1:15,4/4/2023 1:26,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black Skirt(New),L-XL",290,290,1
230404714PYVP2,Completed,SPEPH033247944674,Standard Local-SPX Express,pickup,4/20/2023 2:48,4/19/2023 17:39,4/4/2023 1:22,4/4/2023 2:48,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black Shorts,s-M",290,290,1
